iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
PHL,184,Philippines,Philippines,Republic of the Philippines,Asia,169675.11264585267,188577.6293651193,18902.516719266627,11.140417957888802,100023165.19157442,111243722.9441224,11220557.75254798,11.217959090833848,-0.07754113294504528,26.91725607089778,27.354720278601903,0.036127987779183725,0.024280535338505944
SDN,213,Sudan,,,Africa,111530.68516821254,147612.864205264,36082.17903705145,32.351795367016415,25024483.63564347,33138786.945192397,8114303.309548926,32.425457514701186,-0.07366214768477164,45.57926627167384,38.29369752747875,0.02827989604075756,0.0463480411741393
CHE,44,Switzerland,Switzerland,Swiss Confederation,Europe,104904.45803064005,113842.03033477294,8937.57230413289,8.519725921964575,4896038.156845377,5314429.652723109,418391.4958777325,8.545511339464545,-0.025785417499969654,12.642828953101256,14.89438928520587,0.021810028551843108,0.011480431066079228
GEO,85,Georgia,Georgia,Georgia,Asia,94005.12957337024,94398.05110634655,392.9215329763101,0.4179788217510387,2393653.4465449057,2404036.982867306,10383.53632240044,0.4337944716846312,-0.015815649933592524,20.803651692023767,20.562464599111856,0.018084921569067425,0.0005047129600984355
HTI,105,Haiti,Haiti,Republic of Haiti,North America,79012.94911969133,90306.90298106686,11293.953861375529,14.293801189811417,8883363.659428941,10082609.567074964,1199245.9076460227,13.499907845978187,0.7938933438332292,30.991836313859046,30.991480511537222,0.017301133216384514,0.014507234666962557
KAZ,122,Kazakhstan,Kazakhstan,Republic of Kazakhstan,Asia,76376.50315547215,88015.32576392773,11638.822608455579,15.238747687575549,11083967.605122441,12793036.326936116,1709068.721813675,15.41928651094064,-0.18053882336509197,28.86378020053511,29.281034070475197,0.01686210938320459,0.014950223181401405
ITA,117,Italy,Italy,Italian Republic,Europe,83491.98902772777,81632.70941256573,-1859.2796151620423,-2.2268958217591077,56309947.99982167,55020578.642832026,-1289369.3569896445,-2.289771883635424,0.06287606187631622,13.037024363457068,11.828119989659955,0.015639318078013453,-0.0023882695130268976
AZE,17,Azerbaijan,Azerbaijan,Republic of Azerbaijan,Asia,75092.07509458289,80064.05813200424,4971.983037421349,6.62118210364921,8111020.836009884,8676161.469722413,565140.6337125283,6.967564812600608,-0.34638270895139733,22.947556591317152,21.125309809693288,0.015338793490422,0.006386578656984514
SYR,236,Syria,Syria,Syrian Arab Republic,Asia,59907.36327341038,73882.42710503555,13975.063831625164,23.327789887604574,11880186.645047083,15183467.489443228,3303280.844396144,27.80495747323381,-4.4771675856292354,28.754693743229698,28.76152825794153,0.014154507258011357,0.01795115625401314
BRA,35,Brazil,Brazil,Federative Republic of Brazil,South America,64917.577607632236,66945.19126907179,2027.613661439551,3.12336617625296,113978298.43066238,118624462.55159718,4646164.120934799,4.076358556766181,-0.9529923805132205,19.052934849400824,20.6226197996509,0.012825461112151958,0.0026044968450809817
UZB,257,Uzbekistan,Uzbekistan,Republic of Uzbekistan,Asia,45788.86068835681,56416.84039542789,10627.979707071077,23.21084112445182,21818126.52148334,26272330.3755693,4454203.8540859595,20.415152738710646,2.795688385741176,31.371302344574826,30.928349522532848,0.010808423709685168,0.01365178196570193
AUT,15,Austria,Austria,Republic of Austria,Europe,54223.73350590713,52640.26769252576,-1583.4658133813646,-2.9202449020019285,6092327.317142815,6583027.374162559,490700.05701974407,8.054394182646657,-10.974639084648587,14.123100373985045,14.232384574825533,0.010084902192753405,-0.0020339829986730966
FRA,80,France,France,French Republic,Europe,50404.538947233326,51811.82337430849,1407.2844270751666,2.7919795646745253,61969118.838491626,63660273.148714565,1691154.3102229387,2.7290275251945193,0.06295203948000605,14.595486626897186,16.40821947608305,0.009926187575833825,0.0018076756534805684
SSD,226,South Sudan,,,Africa,47166.431368526835,48038.7003428543,872.2689743274677,1.849342740204667,8370900.863701805,9095552.507288223,724651.6435864186,8.656793998465309,-6.807451258260642,40.223650002437914,39.2130770192701,0.00920332695218157,0.0011204411544973422
MOZ,158,Mozambique,Mozambique,Republic of Mozambique,Africa,35111.796413410484,46609.5891820865,11497.792768676016,32.7462389941535,19295194.37005812,25906020.52537151,6610826.155313391,34.261516253870624,-1.5152772597171236,44.087989222364605,43.3731423985113,0.008929535672032706,0.014769068467486445
DZA,68,Algeria,Algeria,People�s Democratic Republic of Algeria,Africa,35778.04008058526,42975.091164471254,7197.051083885992,20.115833812236765,22126061.04579899,26326932.097755913,4200871.051956922,18.98607729257137,1.1297565196653956,32.051852150814696,29.210067143529866,0.008233233038438571,0.009244708298404096
TLS,245,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,Asia,29067.664326266397,34137.73909307562,5070.074766809226,17.442319100361146,786385.2120218538,928841.7927735897,142456.58075173595,18.11536872437742,-0.6730496240162722,38.281172370936936,31.865346936033745,0.006540159747027364,0.006512578794277868
IRQ,113,Iraq,Iraq,Republic of Iraq,Asia,14910.38292726981,18194.28863452191,3283.905707252099,22.024288197495704,33743555.89808539,42353423.68665895,8609867.788573556,25.51559122748554,-3.4913030299898367,35.663120632941464,36.32575765281944,0.0034856893665062274,0.00421822076697253
SLV,221,El Salvador,El Salvador,Republic of El Salvador,North America,17236.642035660065,17749.595384147782,512.9533484877174,2.9759470982021483,2655273.8932558554,2731198.6232909313,75924.73003507592,2.8593935348032287,0.11655356339891965,26.914371673071617,26.574736170477415,0.0034004943602422787,0.0006588954312240488
LBN,132,Lebanon,Lebanon,Lebanese Republic,Asia,19153.01193241659,17119.350884172978,-2033.6610482436117,-10.617969932977632,4541208.887801149,4042773.532012424,-498435.35578872496,-10.9758297427729,0.35785980979526855,25.897286542134836,25.89555340428802,0.0032797511646169807,-0.002612264794247875
JOR,120,Jordan,Jordan,Hashemite Kingdom of Jordan,Asia,13855.555467971793,17046.752237667264,3191.1967696954707,23.031893431282295,1041332.1645548712,1307708.460418421,266376.2958635499,25.580338813160104,-2.5484453818778086,32.5000503487383,31.740792147403702,0.0032658426059900963,0.004099134897721866
OMN,179,Oman,Oman,Sultanate of Oman,Asia,12433.652933270629,16817.30548217387,4383.652548903241,35.25635283878024,3625221.170436233,4799082.382489891,1173861.212053658,32.380402653127064,2.875950185653174,27.947856558036456,24.028349663410577,0.0032218848491429738,0.005630860282053823
ESP,72,Spain,Spain,Kingdom of Spain,Europe,14860.578123130388,14296.299966444034,-564.2781566863541,-3.797148078701319,32288692.105153117,33373555.441397056,1084863.3362439387,3.3598862806548917,-7.157034359356211,9.855255273921012,12.887719017339982,0.002738906795117288,-0.0007248228332582361
PAN,181,Panama,Panama,Republic of Panama,North America,12233.745180686385,14087.100632209751,1853.3554515233664,15.149534538689666,3745442.1715502003,4335629.314728096,590187.1431778958,15.757475783790392,-0.6079412451007258,29.178708865596892,24.35688020776048,0.002698828069893757,0.0023806598456626916
AND,6,Andorra,Andorra,Principality of Andorra,Europe,12030.427752467622,14024.849411918498,1994.4216594508762,16.578144189775713,0.0,0.0,0.0,0.0,16.578144189775713,11.448658834506418,0.0,0.0026869018868491755,0.0025618612749497126
MYS,164,Malaysia,Malaysia,Malaysia,Asia,11498.252267070959,13428.086022069512,1929.8337549985536,16.783713821667227,30769400.5007032,35551189.50058323,4781788.999880031,15.54072852271122,1.2429852989560075,22.435419749915297,21.530770325590222,0.0025725730529990863,0.002478897248530086
PRK,189,"Korea, North","Korea, North",Democratic People�s Republic of Korea,Asia,8859.851387002062,9320.348917343626,460.4975303415649,5.1975762371944825,23945712.628206126,24905344.263647936,959631.6354418099,4.007530075807562,1.1900461613869204,18.94338231360869,18.940410539340842,0.0017856065585147398,0.000591515231797498
TWN,251,Taiwan,Taiwan�,(no long-form name),Asia,8161.02035065021,8034.587337916285,-126.43301273392535,-1.5492304552806573,23376309.710444603,23040512.42042643,-335797.2900181748,-1.4364854597564627,-0.11274499552419459,12.117044154318904,11.574985625166441,0.0015392784082199039,-0.00016240489450332568
DOM,67,Dominican Republic,Dominican Republic,Dominican Republic,North America,7476.755049491481,7936.478196181178,459.7231466896965,6.148698782381051,9875230.827884335,10926242.51203871,1051011.6841543745,10.642907517530329,-4.494208735149278,26.55082668414796,26.400794109855845,0.0015204825102888221,0.0005905205256478353
SWZ,233,Eswatini,Eswatini,Kingdom of Eswatini,Africa,7169.324733898427,7918.592676407425,749.2679425089973,10.451025310183873,415702.5185474275,455987.68519159465,40285.166644167155,9.690864223034776,0.7601610871490969,33.092119950065,33.17857115734644,0.0015170559753282017,0.0009624446853447976
LAO,131,Laos,Laos,Lao People�s Democratic Republic,Asia,6678.233382081262,7360.729625297551,682.4962432162893,10.219712372549495,5001683.949551085,5806635.9289863985,804951.9794353135,16.09361942006672,-5.873907047517225,35.503385198952074,28.76951520652542,0.0014101797272768853,0.0008766755452685345
CAN,42,Canada,Canada,Canada,North America,5539.2049351514725,6120.649471171125,581.4445360196523,10.496895183094583,30295911.04175821,33812483.20736057,3516572.1656023636,11.607415141783704,-1.110519958689121,12.439091466341406,14.641163747762128,0.001172603293612296,0.000746873276922783
NER,169,Niger,Niger,Republic of Niger,Africa,4801.590904602654,5710.888664393383,909.2977597907293,18.9374267374404,18982919.948416665,26650626.348090246,7667706.399673581,40.3926604574505,-21.455233720010103,46.30555840700936,46.42316594872284,0.0010941006977874652,0.0011680051242763654
BGR,26,Bulgaria,Bulgaria,Republic of Bulgaria,Europe,5707.159491431941,5332.646556274246,-374.5129351576952,-6.562159962761596,4897135.160560711,4581271.438938802,-315863.7216219092,-6.449969446743705,-0.11219051601789065,13.45406865728126,14.413451603508745,0.0010216365019774585,-0.00048106687018853244
