iso3,country_name,elevation_group,pop_total_2015,pop_total_2025,pop_total_change_2015_2025,pop_total_pct_change_2015_2025,growth_percent,elevation_label
TKM,Turkmenistan,1500-2499m,361.74787814437525,439.1701804949083,77.42230235053307,21.40228237071607,21.40228237071607,"1,500-2,499 m"
TKM,Turkmenistan,2500-3499m,9.83692393783337,11.682027040528274,1.8451031026949032,18.756911351103685,18.756911351103685,"2,500-3,499 m"
TLS,Timor-Leste,1500-2499m,29047.248962480433,34115.635224753314,5068.386262272881,17.448765178484138,17.448765178484138,"1,500-2,499 m"
TUR,Turkey,1500-2499m,3564803.727526876,3951555.0558124585,386751.32828558236,10.849161913155191,10.849161913155191,"1,500-2,499 m"
TUR,Turkey,2500-3499m,13977.297171112104,15487.74522481102,1510.4480536989158,10.806438721362156,10.806438721362156,"2,500-3,499 m"
TWN,Taiwan,1500-2499m,7831.248174679929,7707.9795381765825,-123.2686365033469,-1.5740611682043266,-1.5740611682043266,"1,500-2,499 m"
TWN,Taiwan,2500-3499m,329.77217597028226,326.6077997397023,-3.1643762305799896,-0.9595643481047201,-0.9595643481047201,"2,500-3,499 m"
TZA,Tanzania,1500-2499m,7445889.576455972,9677252.851381738,2231363.2749257656,29.967719128972497,29.967719128972497,"1,500-2,499 m"
TZA,Tanzania,2500-3499m,21918.579245177294,31452.436134537376,9533.856889360082,43.49669192841411,43.49669192841411,"2,500-3,499 m"
UGA,Uganda,1500-2499m,3338492.644856553,4579516.427087132,1241023.7822305788,37.173177066678925,37.173177066678925,"1,500-2,499 m"
UGA,Uganda,2500-3499m,6932.05364089979,9388.348362541581,2456.2947216417915,35.433867781250484,35.433867781250484,"2,500-3,499 m"
UKR,Ukraine,1500-2499m,51.79035292122949,45.35404870958537,-6.436304211644121,-12.427612187608403,-12.427612187608403,"1,500-2,499 m"
USA,United States,1500-2499m,7693272.513315667,8214838.916585134,521566.40326946694,6.779512910360702,6.779512910360702,"1,500-2,499 m"
USA,United States,2500-3499m,156785.4610224522,151690.64192541785,-5094.819097034342,-3.2495481811956703,-3.2495481811956703,"2,500-3,499 m"
UZB,Uzbekistan,1500-2499m,45081.707387872026,55579.16126067435,10497.453872802325,23.28539552081466,23.28539552081466,"1,500-2,499 m"
UZB,Uzbekistan,2500-3499m,707.1533004848066,837.6791347535527,130.52583426874617,18.45792619213697,18.45792619213697,"2,500-3,499 m"
VEN,Venezuela,1500-2499m,434555.1917432847,406752.2403848438,-27802.951358440914,-6.398025357125552,-6.398025357125552,"1,500-2,499 m"
VEN,Venezuela,2500-3499m,35486.43281197624,33235.018800579826,-2251.4140113964168,-6.344435980154624,-6.344435980154624,"2,500-3,499 m"
VNM,Vietnam,1500-2499m,185852.12374564516,204601.9879642304,18749.864218585222,10.088592931144573,10.088592931144573,"1,500-2,499 m"
WSM,Samoa,1500-2499m,,,,,,"1,500-2,499 m"
XJM,Jan Mayen,1500-2499m,,,,,,"1,500-2,499 m"
XKS,Kosovo,1500-2499m,3195.0382953119947,3019.735237030017,-175.30305828197788,-5.486727922453887,-5.486727922453887,"1,500-2,499 m"
XQO,Shipki Pass,2500-3499m,57.23331527650047,58.901335232013,1.668019955512527,2.9144213426290935,2.9144213426290935,"2,500-3,499 m"
YEM,Yemen,1500-2499m,13674923.965899631,18360903.02290897,4685979.057009339,34.26694779945025,34.26694779945025,"1,500-2,499 m"
YEM,Yemen,2500-3499m,1293935.944007775,1716050.34274612,422114.3987383449,32.622511237373004,32.622511237373004,"2,500-3,499 m"
ZAF,South Africa,1500-2499m,11980424.752059516,13755935.48329371,1775510.7312341947,14.820098351930072,14.820098351930072,"1,500-2,499 m"
ZAF,South Africa,2500-3499m,330.8825646900763,372.0565435987647,41.173978908688355,12.443683440151727,12.443683440151727,"2,500-3,499 m"
ZMB,Zambia,1500-2499m,418194.73620620026,564393.2124385888,146198.47623238858,34.959425256921975,34.959425256921975,"1,500-2,499 m"
ZWE,Zimbabwe,1500-2499m,973885.3537240047,1143476.0749735613,169590.72124955663,17.413828085725374,17.413828085725374,"1,500-2,499 m"
