elevation_m,broad_age_group,population_count
-258,working_age_15_64,1017.8910412677
-258,young_0_14,562.4114324879
-257,old_age_65_plus,112.5588483990
-257,working_age_15_64,1645.7639253216
-257,young_0_14,814.9010098164
-256,old_age_65_plus,149.8757448836
-256,working_age_15_64,2199.5198470571
-256,young_0_14,1035.6443346776
-255,old_age_65_plus,174.7862051967
-255,working_age_15_64,2673.7046239050
-255,young_0_14,1557.0926418900
-254,old_age_65_plus,144.2715291093
-254,working_age_15_64,2196.9775896033
-254,young_0_14,1257.7680121711
-253,old_age_65_plus,107.3347683353
-253,working_age_15_64,1575.0702067763
-253,young_0_14,739.6857510656
-252,old_age_65_plus,70.1837031025
-252,working_age_15_64,910.7486847729
-252,young_0_14,430.7748883907
-251,old_age_65_plus,120.2502710626
-251,working_age_15_64,1285.2124213278
-251,young_0_14,624.4933322519
-250,old_age_65_plus,54.2599528774
-250,working_age_15_64,798.7755356253
-250,young_0_14,406.6183922565
-249,old_age_65_plus,34.6099936322
-249,working_age_15_64,506.2958233536
-249,young_0_14,245.0800796234
-248,old_age_65_plus,114.6537289312
-248,working_age_15_64,1666.8104662180
-248,young_0_14,801.3190496513
-247,old_age_65_plus,76.7568216505
-247,working_age_15_64,1176.6936389959
-247,young_0_14,689.0519953733
-246,old_age_65_plus,180.7214839512
-246,working_age_15_64,2269.1533815747
-246,young_0_14,1182.4403427232
-245,old_age_65_plus,98.0347622009
-245,working_age_15_64,1430.0275419727
-245,young_0_14,679.1899207830
-244,old_age_65_plus,153.5401608369
-244,working_age_15_64,2316.4544317224
-244,young_0_14,1270.5984877495
-243,old_age_65_plus,93.4110937665
-243,working_age_15_64,998.0196866307
-243,young_0_14,479.6773902220
-242,old_age_65_plus,49.8658631482
-242,working_age_15_64,729.5673667460
-242,young_0_14,340.4821658619
-241,old_age_65_plus,163.6710181297
-241,working_age_15_64,1416.9541558588
-241,young_0_14,644.0727897996
-240,old_age_65_plus,156.6902102977
-240,working_age_15_64,2273.7718733549
-240,young_0_14,1221.1373607516
-239,old_age_65_plus,72.3917316315
-239,working_age_15_64,1080.9257217944
-239,young_0_14,590.4065020978
-238,old_age_65_plus,69.8091268681
-238,working_age_15_64,1033.9513845998
-238,young_0_14,570.3487391528
-237,old_age_65_plus,124.2180226415
-237,working_age_15_64,1658.9824130696
-237,young_0_14,846.9255829538
-236,old_age_65_plus,129.6908442282
-236,working_age_15_64,1829.6025150798
-236,young_0_14,934.2228135726
-235,old_age_65_plus,85.3550694437
-235,working_age_15_64,991.0625823773
-235,young_0_14,480.5180894071
-234,old_age_65_plus,163.4273254490
-234,working_age_15_64,2390.6903668726
-234,young_0_14,1115.2392086663
-233,old_age_65_plus,5.1780296192
-233,working_age_15_64,74.0749620199
-233,young_0_14,37.8626223207
-232,old_age_65_plus,313.5237017266
-232,working_age_15_64,4700.2443741306
-232,young_0_14,2480.0161885151
-231,old_age_65_plus,87.1116075086
-231,working_age_15_64,998.6515200828
-231,young_0_14,458.3220959466
-230,old_age_65_plus,110.8412409850
-230,working_age_15_64,1487.2459688387
-230,young_0_14,693.5520324595
-229,old_age_65_plus,56.4363583686
-229,working_age_15_64,829.1652698847
-229,young_0_14,380.0592292426
-228,old_age_65_plus,140.2710532668
-228,working_age_15_64,2027.5747480306
-228,young_0_14,1017.0682163523
-227,old_age_65_plus,159.8816053553
-227,working_age_15_64,2147.1359847449
-227,young_0_14,1072.5845661797
-226,old_age_65_plus,151.8016215833
-226,working_age_15_64,2158.9482385035
-226,young_0_14,1037.5685430402
-225,old_age_65_plus,187.2378732651
-225,working_age_15_64,2411.9725949764
-225,young_0_14,1151.2351146936
-224,old_age_65_plus,77.3315580240
-224,working_age_15_64,1116.6262732595
-224,young_0_14,552.4599725455
-223,old_age_65_plus,176.4879230419
-223,working_age_15_64,1946.1043087989
-223,young_0_14,902.7689707018
-222,old_age_65_plus,80.1729941934
-222,working_age_15_64,1150.0230099624
-222,young_0_14,583.1519913822
-221,old_age_65_plus,240.0063496507
-221,working_age_15_64,1786.7574063316
-221,young_0_14,999.5025808290
-220,old_age_65_plus,201.0435658675
-220,working_age_15_64,2950.2303036523
-220,young_0_14,1387.7931120546
-219,old_age_65_plus,136.8191881130
-219,working_age_15_64,2089.5147887794
-219,young_0_14,1215.8144463468
-218,old_age_65_plus,142.0340178197
-218,working_age_15_64,2018.6802304881
-218,young_0_14,1073.9825466000
-217,old_age_65_plus,32.8723846835
-217,working_age_15_64,478.9699366158
-217,young_0_14,230.7736504904
-216,old_age_65_plus,291.8931886091
-216,working_age_15_64,4222.4255062798
-216,young_0_14,1979.6315268404
-215,old_age_65_plus,79.2868111362
-215,working_age_15_64,1042.2511258200
-215,young_0_14,493.5195641890
-214,old_age_65_plus,401.5635683864
-214,working_age_15_64,5863.8783636976
-214,young_0_14,2745.4027025172
-213,old_age_65_plus,107.2131575126
-213,working_age_15_64,1493.6892396270
-213,young_0_14,761.6985076163
-212,old_age_65_plus,229.0189442383
-212,working_age_15_64,3297.1952426676
-212,young_0_14,1651.9831220638
-211,old_age_65_plus,68.4356223904
-211,working_age_15_64,694.0294931466
-211,young_0_14,366.5206619972
-210,old_age_65_plus,537.8644549707
-210,working_age_15_64,7469.6122659582
-210,young_0_14,3852.0164287742
-209,old_age_65_plus,89.2441187922
-209,working_age_15_64,634.3688064588
-209,young_0_14,282.6899703234
-208,old_age_65_plus,336.3346100796
-208,working_age_15_64,4775.3506752616
-208,young_0_14,2352.5749081858
-207,old_age_65_plus,335.4452568079
-207,working_age_15_64,4444.8958358043
-207,young_0_14,2282.7942461157
-206,old_age_65_plus,96.4855503820
-206,working_age_15_64,376.7502568696
-206,young_0_14,172.9822655439
-205,old_age_65_plus,234.7155873278
-205,working_age_15_64,1455.3103497671
-205,young_0_14,694.7467731675
-204,old_age_65_plus,109.5893325056
-204,working_age_15_64,906.5817117719
-204,young_0_14,447.1792795668
-203,old_age_65_plus,93.5787697697
-203,working_age_15_64,860.9711389687
-203,young_0_14,374.9083323011
-202,old_age_65_plus,179.4364712996
-202,working_age_15_64,2389.8923194520
-202,young_0_14,1213.3824036270
-201,old_age_65_plus,330.8063765625
-201,working_age_15_64,4547.1449276768
-201,young_0_14,2358.2101540789
-200,old_age_65_plus,70.2186374027
-200,working_age_15_64,941.3230610805
-200,young_0_14,468.8194062985
-199,old_age_65_plus,249.3957971047
-199,working_age_15_64,762.8575353192
-199,young_0_14,348.4155290117
-198,old_age_65_plus,201.2379099922
-198,working_age_15_64,1165.9367829440
-198,young_0_14,565.1433621664
-197,old_age_65_plus,461.0230183725
-197,working_age_15_64,3636.1561961049
-197,young_0_14,1772.6581551731
-196,old_age_65_plus,173.6340391185
-196,working_age_15_64,658.0859089844
-196,young_0_14,310.4268249953
-195,old_age_65_plus,489.4219318494
-195,working_age_15_64,2572.5800221036
-195,young_0_14,1163.4506850876
-194,old_age_65_plus,166.5514152990
-194,working_age_15_64,2377.5842783852
-194,young_0_14,1165.2435977599
-193,old_age_65_plus,229.7600410118
-193,working_age_15_64,3255.5202174992
-193,young_0_14,1706.4280588897
-192,old_age_65_plus,328.5862775013
-192,working_age_15_64,4086.6706358893
-192,young_0_14,2066.5121776378
-191,old_age_65_plus,394.5653848437
-191,working_age_15_64,3007.5939621527
-191,young_0_14,1601.7542782554
-190,old_age_65_plus,104.2925941563
-190,working_age_15_64,1015.1387997217
-190,young_0_14,508.5666914899
-189,old_age_65_plus,155.9944223163
-189,working_age_15_64,2133.6304519882
-189,young_0_14,1108.5315424390
-188,old_age_65_plus,21.9325806578
-188,working_age_15_64,323.0148841059
-188,young_0_14,149.7288096118
-187,old_age_65_plus,53.2412950752
-187,working_age_15_64,380.2722216145
-187,young_0_14,185.7303694410
-186,old_age_65_plus,11.3222246228
-186,working_age_15_64,167.4097101953
-186,young_0_14,78.8992188397
-185,old_age_65_plus,81.2926629028
-185,working_age_15_64,1156.6642840207
-185,young_0_14,584.3036602298
-184,old_age_65_plus,69.1014142441
-184,working_age_15_64,454.5793031021
-184,young_0_14,220.7897522827
-183,old_age_65_plus,110.6150781955
-183,working_age_15_64,1592.5940957658
-183,young_0_14,779.9299383047
-182,old_age_65_plus,289.6983273837
-182,working_age_15_64,4073.0696887374
-182,young_0_14,2051.5845234692
-181,old_age_65_plus,104.5887625766
-181,working_age_15_64,1516.3219420351
-181,young_0_14,744.1160254888
-180,old_age_65_plus,126.6073146176
-180,working_age_15_64,1813.9385857601
-180,young_0_14,923.7998082866
-179,old_age_65_plus,287.6019144402
-179,working_age_15_64,4033.5043019249
-179,young_0_14,2053.7704049824
-178,old_age_65_plus,6.4521470298
-178,working_age_15_64,99.5252174139
-178,young_0_14,60.0527290106
-177,old_age_65_plus,169.2688313024
-177,working_age_15_64,2372.4353337828
-177,young_0_14,1187.9084325258
-176,old_age_65_plus,283.3375983522
-176,working_age_15_64,4069.0799736450
-176,young_0_14,2046.4565669494
-175,old_age_65_plus,61.7068432197
-175,working_age_15_64,710.9865106940
-175,young_0_14,376.5129572153
-174,old_age_65_plus,324.5168182468
-174,working_age_15_64,4599.4124301741
-174,young_0_14,2369.9114070933
-173,old_age_65_plus,212.4957378249
-173,working_age_15_64,1770.5764641392
-173,young_0_14,855.6386008463
-172,old_age_65_plus,378.6375325203
-172,working_age_15_64,1411.6761988597
-172,young_0_14,537.1193740070
-171,old_age_65_plus,106.9408069192
-171,working_age_15_64,440.4590414129
-171,young_0_14,215.2491057236
-170,old_age_65_plus,147.8668293754
-170,working_age_15_64,973.4119412226
-170,young_0_14,450.6944092503
-169,old_age_65_plus,54.6521623963
-169,working_age_15_64,794.4916993640
-169,young_0_14,379.8064093920
-168,old_age_65_plus,19.9458230503
-168,working_age_15_64,302.7483410564
-168,young_0_14,178.9298718692
-167,old_age_65_plus,100.9564802542
-167,working_age_15_64,752.4056588383
-167,young_0_14,332.6563136373
-166,old_age_65_plus,57.4729096799
-166,working_age_15_64,844.4707609899
-166,young_0_14,387.0708226459
-165,old_age_65_plus,427.1626492704
-165,working_age_15_64,6069.5154585710
